input,prediction,label
이들 아들 부부가 후베이성이 아닌 광둥성을 방문한 다음에 입국했습니다, After their sons and his wife visited Guangdong Province not Hubei Province Go,The son and his wife entered the country after visiting Guangdong not Hubei
GS4774는 HBV core protein과 X protein을 함유한 효모 기반의 치료 백신으로 최근 2상 임상 시험이 진행되었다, GS4774 is a yeastbased treatment vaccine containing the HBcure and X protein and a phase 2 clinical trial was conducted recently and yangjakgeum jja,GS4774 is a yeastbased treatment vaccine containing HBV core protein and X protein and has recently undergone a twophase clinical trial
문화관 운영은 구청장이 한다 다만 문화관의 효율적인 관리와 이용을 위하여 필요할 경우 구청장은 법인 또는 단체 등에게 문화관의 운영 및 시설물 관리 전부 또는 일부를 위탁할 수 있다, The head of the Gu shall operate the cultural center Provided That if necessary for the efficient management and use of the cultural center the head of the Gu may entrust all or part of the operation,The head of the Gu shall operate the cultural centers Provided That where necessary for the efficient management and use of the cultural centers the head of the Gu may entrust the whole or part of the operation of cultural centers and of the management of cultural facilities to a corporation an organization etc
나는 이때 정말 행복했으므로 잊을 수 없어요, I was really happy at this time so I cant forget,I was so happy at that time that I cant forget it
공모 대상 직위는 기관별 경영평가 결과 및 정책수행능력 전문성 등을 종합적으로 검토해 선정한 것으로 알려졌다, The positions subject to the competition were reportedly selected by comprehensively reviewing the results of management evaluations and policy performance capabilities and expertise,It is said that the position for the target of the public project is selected based on a comprehensive review of the results of the management evaluation of each institution the ability to perform the policy and the expertise
나아가 피해구제기금 내부고발자제도를 도입하는 것도 검토할 필요가 있다, Furthermore it is necessary to consider introducing the internal accuser system of the damage relief fund such,Furthermore it is necessary to consider introducing a damage relief fund and whistleblower system
나노포어 크기의 조절은 생체분자 감지 응용 분야에서 근본적으로 중요하다, The regulation of nanopore size is fundamentally important in the field of biomole,The control of nanopore size is fundamentally important in biomolecule sensing applications
수면 체험실은 키오스크를 통해 비대면 셀프 오더 방식으로 운영한다, The sleep experience room is operated in a nonfacetoface selforder method through k,The sleep experience room is operated by a nonfacetoface selforder method through a kiosk
지난해 초에도 많은 증권사들이 코스피 3000 돌파 전망을 내놨지만 무역전쟁이라는 암초를 만나면서 증시는 오히려 고꾸라졌다, Earlier last year many securities firms predicted a KOSPI 3000 breakthrough but the stock market broke down as they met the reef of the trade war Choe,Early last year many stock firms forecasted breaking through the COSPI 3000 on the contrary the stocks fell as a result of the trade war
고민하던 중은 마을 사람들로 하여금 산줄기의 낮은 골짜기를 따라 길을 닦게 하면 손님 발길이 줄어들 것이라고 말했다, While agonizing the villagers to pave the way the villagers will reduce the number of customers visiting the jewel,While contemplating the monk said that if the villagers were asked to pave the way along the low valley of the mountain the visitor would be reduced
여성 가해자가 남성 가해자의 2배였고 20대가 467로 가장 많았다, The female perpetrators were twice as many as male offenders and 467 were,Female perpetrators were twice as many as male perpetrators with 467 in their 20s
법학 교육은 1단계 교육 중 전반부 3개월 동안의 기본 이론 교육에서 실시된다, Law education will be conducted in basic theoretical education for three months in the first half of the first,Law education is conducted during the first three months of basic theory education during the first stage of education
선천적 복수국적에 대한 한국 헌법재판소의 판결이 2년 반이나 지연되고 있어 한인 2세들의 피해가 눈덩이처럼 불어나고 있다, As the Constitutional Courts ruling on congenital plural nationalities has been delayed for two and a half years the damage to Korean secondgeneration Koreans is growing like Jay,The damage to the second generation of Koreans has been immense as the South Korean Constitutional Courts decision on the inborn multiple citizenships have been delayed even after two and a half years
퍼지 조건은 애노드16의 수소 농도가 미리 정해진 기준 농도 이하인지 여부일 수 있다, The purge condition may be whether the hydrogen concentration of the anode 16 is below or less than a predetermined standard concentration of,The purge condition may be whether the hydrogen concentration of the anode 16 is less than or equal to a predetermined reference concentration
상담 희망자 성별로는 여성이 10610건59으로 남성 732941보다 3281건이 더 많은 것으로 조사됐다, As for the counseling candidates for counseling 10610 59 women 3281 more than 732941 cases than male 732941,By gender women accounted for 10610 cases 59 percent 3281 more than men of 7329 41 percent the survey showed
이들 국가들은 네덜란드가 대마초 관광지의 중심부로 부상했다는 사실과 마약을 유통시키는 조직범죄의 온상이라고 비판했다, These countries criticized the fact that the Netherlands has emerged as the center of marijuana tourist destinations and the hotbed of organizational,These countries criticized the Netherlands as a hotbed of organized crime in the distribution of drugs and the fact that the Netherlands has emerged as the center of cannabis tourism
한 은행이 전체 구금고를 독식하는 일은 없을 것으로 보인다, It is unlikely that a bank monopolizes the entire detention bank by,It is unlikely that any single bank will monopolize the entire Gu treasury
